成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,投信,自營商,外資
"3,735,940,322",96.0,96.5,95.6,96.5,+0.40,"15,449",152,2240,8129
"4,565,073,597",96.9,97.6,96.5,96.9,+0.40,"17,601",303,-2173,18687
"3,907,517,072",97.4,97.4,96.6,97.3,+0.40,"12,909",565,-1311,19483
"6,081,861,240",97.7,99.3,97.5,98.5,+1.20,"24,052",792,2943,13853
"3,485,429,838",97.7,97.8,96.7,96.7,-1.80,"19,032",376,-87,-7679
"2,763,636,567",96.7,97.3,95.6,97.3,+0.60,"12,638",247,-710,7006
"1,475,163,192",97.9,98.0,96.8,97.0,-0.30,"7,499",281,-652,-1702
"2,962,867,825",96.5,96.5,95.8,95.8,-1.20,"15,150",17,-599,-3458
"2,426,738,681",96.0,96.2,95.5,96.0,+0.20,"10,313",111,-84,4895
"1,413,842,714",96.2,96.8,96.2,96.5,+0.50,"7,480",378,-135,2120
"1,495,593,053",97.7,97.7,96.5,97.0,+0.50,"8,028",40,-659,5709
